ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst_B,Erro_Mag_B,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_R,Erro_Mag_R,Mag_Ap_B,Mag_Ap_R,Cor_B_R,Erro_Cor_B_R
236,356.15368572953986,633.4610342779511,276.6336278075105,-15.057476525592394,29192.354565405665,204.5463765582483,142.7175345591742,44.83167720854006,0.0076073343289842,6.2786552804884215,352.1809355185953,250,14.242565878269218,44.20358897641337,0.0060040186383608,14.261126896975433,12.451891618808553,1.8092352781668808,0.009691221564009634
583,2066.882428182775,1531.6358066600644,276.49245754571297,-14.814546579785684,28373.46752718996,202.3761643575256,140.20162709015622,44.86256898604129,0.0077438473613565,6.2786552804884215,352.1809355185953,250,14.274662896142384,45.07905547905882,0.0094993744516728,14.292018674476665,13.327358121454004,0.9646605530226608,0.012255826652212486
661,338.6638680368966,1826.4179089406207,276.45564060691817,-15.064761494303957,27887.994031311973,210.8321781667441,132.2757952500769,44.88130682963841,0.008207850861508,6.2786552804884215,352.1809355185953,250,14.2941317952958,44.58750082882545,0.0076086192935169,14.310756518073788,12.835803471220629,1.4749530468531589,0.011191957081691977
478,603.6644950744025,1249.3190135327543,276.54067791489746,-15.024302749573849,27432.45494394144,198.63647422976345,138.10381527518575,44.899188335251736,0.0078614772360679,6.2786552804884215,352.1809355185953,250,14.312710946503492,43.86488462387926,0.0050439748405753,14.328638023687112,12.113187266274444,2.2154507574126683,0.0093404767825615
626,801.1476174465861,1686.4619551344638,276.4746197184733,-14.997585085749169,27193.87563789109,200.27317450183097,135.78391467321788,44.908672253888,0.0079957924516529,6.2786552804884215,352.1809355185953,250,14.322564879510864,45.06513209986789,0.0093761707796804,14.338121942323376,13.31343474226307,1.0246872000603062,0.012322551497950498
338,1161.3183924789353,907.1449301996954,276.58939915796634,-14.942556701136876,27079.59459367077,204.14712197737188,132.6474472496964,44.9132446259909,0.0081848540813323,6.2786552804884215,352.1809355185953,250,14.3273156423669,44.04773550147427,0.0056046725549589,14.342694314426275,12.296038143869453,2.0466561705568225,0.0099198886476115
499,1615.8301106308304,1298.076850913933,276.5291758004622,-14.878628221010128,27026.309090810595,201.06180316913708,134.41791859429182,44.91538317333634,0.0080770481447263,6.2786552804884215,352.1809355185953,250,14.329537624975906,45.16538728999429,0.0100521488779765,14.344832861771714,13.413689932389474,0.93114292938224,0.01289513101124726
32,1756.2836687492024,103.82584605283732,276.7066927764457,-14.853448419662456,26810.012015860964,196.40001339769444,136.50718017810323,44.92410750011147,0.0079534277873403,6.2786552804884215,352.1809355185953,250,14.338602330702903,44.319710388022614,0.0063107720812894,14.353557188546844,12.568013030417795,1.7855441581290492,0.010152972856775426
426,1445.018834946172,1126.7715037731705,276.5554439731294,-14.902557066646674,26741.45012079473,194.44830903335472,137.52472445624423,44.926887636057096,0.0078945804421184,6.2786552804884215,352.1809355185953,250,14.341490933443003,45.50743007881525,0.0118565179982137,14.356337324492472,13.755732721210428,0.6006046032820436,0.014244346927783097
328,2777.2939822197523,878.8672971334922,276.58679526014555,-14.709441611556556,26426.19919119915,193.57410604982164,136.5172219077568,44.9397632611256,0.0079528427609931,6.2786552804884215,352.1809355185953,250,14.354868900053551,45.24361030529908,0.0102350286689756,14.369212949560975,13.49191294769426,0.8773000018667148,0.01296161717671961
407,2929.911576407155,1080.7922695370291,276.55605216015715,-14.68826339369246,25922.87487799957,191.5805055965785,135.3106089644986,44.96064211255559,0.0080237610953687,6.2786552804884215,352.1809355185953,250,14.37656233829914,44.62444747517513,0.0073892697171736,14.390091800990966,12.872750117570313,1.5173416834206535,0.010907889304017123
355,1255.969116986268,962.5889001175952,276.58072976595264,-14.929139902550752,25420.542123401683,192.78476386614668,131.85970516348243,44.98188800126776,0.0082337511573677,6.2786552804884215,352.1809355185953,250,14.398637133758823,45.2746566125578,0.0104555726974964,14.411337689703139,13.52295925495298,0.8883784347501589,0.013308405560174597
538,647.6747982273039,1385.0105367253996,276.52024407722564,-15.0185032280595,25134.241635837592,194.68045982277985,129.10510720345337,44.994185556705574,0.0084094271986395,6.2786552804884215,352.1809355185953,250,14.411414477395589,45.0578449101062,0.0094720652015314,14.42363524514095,13.306147552501379,1.1174876926395712,0.012666431422909921
635,445.42587576246734,1709.830041242296,276.47260297409923,-15.04892581524066,25070.748161137308,198.55688218390847,126.26481583205027,44.996931785766876,0.0085985948884139,6.2786552804884215,352.1809355185953,250,14.41426785037682,44.707974312580006,0.0077187973445493,14.426381474202252,12.956276954975188,1.470104519227064,0.011554897944217378
228,2666.82295333088,609.0341807968791,276.6274853344986,-14.724252279711935,24859.70372985408,190.227374102263,130.6841554596129,45.00611015030222,0.0083078166299626,6.2786552804884215,352.1809355185953,250,14.423804308113043,45.36810918789561,0.010903927658542,14.435559838737596,13.616411830290794,0.8191480084468026,0.013708225834870112
298,707.4022982572536,807.8726763747069,276.60612059795113,-15.007571950302909,24478.623113499227,196.99069252290684,124.26284105099413,45.02288255734134,0.0087371252002395,6.2786552804884215,352.1809355185953,250,14.441231089349223,45.05367570315184,0.0094180786850215,14.452332245776716,13.30197834554702,1.150353900229696,0.012846694628655123
533,3032.0877705971266,1369.705621133353,276.5125594199318,-14.674711060942045,24101.818250429,186.5385242743053,129.20558015666097,45.03972550379673,0.0084028878527041,6.2786552804884215,352.1809355185953,250,14.458731162091675,45.08281787169384,0.0094209179034716,14.469175192232107,13.331120514089022,1.1380546781430851,0.01262387493636854
81,2596.387994975492,232.73681710323737,276.68387644600864,-14.732828763165356,23347.771302595764,186.9257275169024,124.90400124554596,45.074236445097114,0.0086922755810332,6.2786552804884215,352.1809355185953,250,14.49458854516696,45.50550359890997,0.0117778154623646,14.50368613353249,13.75380624130515,0.7498798922273409,0.01463805287058838
13,782.7787051051866,40.8482612850487,276.7202479988043,-14.993538044812144,23263.89632771624,203.96431189377927,114.05866110455452,45.07814388715273,0.0095187861183533,6.2786552804884215,352.1809355185953,250,14.498648435779998,45.452082945275464,0.0124925329964072,14.507593575588103,13.700385587670645,0.8072079879174581,0.015705752762388635
288,1498.2648120217448,777.5466845571291,276.6073115693766,-14.893456171891794,23079.573060026247,185.49767466794248,124.41974327355186,45.08678059489348,0.0087261070585313,6.2786552804884215,352.1809355185953,250,14.507622104022602,45.204446201833306,0.010285455516339,14.51623028332886,13.452748844228488,1.0634814391003715,0.013488348289376952
144,787.7875728494397,373.1954960349272,276.67064033956103,-14.994201134777745,22972.415812321124,187.704576793621,122.38601852302745,45.0918333501061,0.008871111366334,6.2786552804884215,352.1809355185953,250,14.512871992099178,45.4196005810123,0.0120828498994044,14.521283038541476,13.667903223407478,0.853379815133998,0.014989725766852348
568,1082.2768262619388,1485.892625442793,276.5033822944677,-14.956280902421245,22590.2406910134,185.57287451550204,121.73245012231732,45.11004787618285,0.0089187394068638,6.2786552804884215,352.1809355185953,250,14.531797156538596,45.261606088512096,0.0103636929727727,14.539497564618223,13.509908730907277,1.029588833710946,0.01367296766036706
625,1818.6072503271407,1682.2799776972208,276.4710240452868,-14.850939380720591,22517.831433542044,181.89006852218327,123.79912557345467,45.113533612381296,0.008769851927232,6.2786552804884215,352.1809355185953,250,14.535418888472218,44.786494215975,0.0080139345602149,14.542983300816672,13.034796858370179,1.508186442446494,0.01187996001512554
46,1981.7528202588933,124.11298592366472,276.7027024508208,-14.82101933336538,22395.226041948743,182.49340609627657,122.7180012747084,45.11946139600143,0.0088471128010765,6.2786552804884215,352.1809355185953,250,14.54157794412371,44.40154580302573,0.0065774180570413,14.548911084436803,12.649848445420915,1.899062639015888,0.011024238441364765
318,1627.55994689954,852.4281869770942,276.5955970654979,-14.87512401113001,22007.91307567217,186.9949392704143,117.69255981760244,45.138402866533745,0.0092248821988628,6.2786552804884215,352.1809355185953,250,14.561258414701856,45.23326320181987,0.0104304218579493,14.567852554969122,13.481565844215048,1.0862867107540737,0.013924516211261426
