ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst,Std_Fundo,Area_Ap,Exptime,Mag_R_Calibrada
312,2288.880110806936,672.9953365175002,276.62750022847115,-14.75042642171728,28526.665823999385,-5.530532414782643,3.344222022651961,710.3422573430399,175,12.764687271163998
538,380.4235585241217,1162.5712747658422,276.5624616915176,-15.0278884697646,28425.231894341472,-5.526664919205427,3.344222022651961,710.3422573430399,175,12.768554766741214
397,2568.188988178907,865.1436168882884,276.5976412401829,-14.710904009773218,28378.02871364547,-5.524860437789753,3.344222022651961,710.3422573430399,175,12.770359248156888
138,2632.3673479721588,332.43836795696,276.67689009521945,-14.699397832600908,28182.306432060606,-5.517346210200527,3.344222022651961,710.3422573430399,175,12.777873475746114
134,60.74984607026549,330.95585510145514,276.6881137989818,-15.070673513650572,28076.93065770698,-5.513278951807662,3.344222022651961,710.3422573430399,175,12.78194073413898
15,2204.8697909676152,57.29809168346684,276.7197921455619,-14.759971998649265,27981.480893346077,-5.509581616753602,3.344222022651961,710.3422573430399,175,12.78563806919304
400,969.4802398527418,869.2044953092136,276.6037869814121,-14.941696487418335,27375.140658369757,-5.485795776625877,3.344222022651961,710.3422573430399,175,12.809423909320763
54,2657.9162007168184,162.43874978897716,276.7021620187031,-14.694988030661449,27353.73511740053,-5.48494647096526,3.344222022651961,710.3422573430399,175,12.810273214981382
368,903.4564940055282,807.2728415109463,276.61331946594663,-14.950973774420296,27301.661648723995,-5.482877578570282,3.344222022651961,710.3422573430399,175,12.81234210737636
875,144.89867231017837,1884.1562923638428,276.455659576609,-15.064727127358829,26670.295387409045,-5.457474442669374,3.344222022651961,710.3422573430399,175,12.837745243277267
39,559.204522044426,107.4937438233216,276.7193631084034,-14.99780690198046,26425.000103531,-5.44744237248675,3.344222022651961,710.3422573430399,175,12.847777313459892
526,2733.414713802445,1138.7469821522038,276.55611664413703,-14.688193306417004,26362.473750470264,-5.444870279069044,3.344222022651961,710.3422573430399,175,12.850349406877598
884,2458.6024183065774,1898.971899913996,276.4438240173289,-14.73099367217148,26337.82964527653,-5.443854839025288,3.344222022651961,710.3422573430399,175,12.851364846921353
347,947.432122858576,763.5863453554564,276.6196586255402,-14.944448628565247,26195.894341526204,-5.4379879534785225,3.344222022651961,710.3422573430399,175,12.857231732468119
584,1216.8188495904258,1256.4124419547788,276.54490821702086,-14.907573015408165,25909.41336572496,-5.426048828067163,3.344222022651961,710.3422573430399,175,12.869170857879478
115,2985.3479031508277,285.7958843836388,276.68235863658634,-14.64822404500645,25848.548107866955,-5.423495263643492,3.344222022651961,710.3422573430399,175,12.87172442230315
499,640.7418220886094,1084.243198047595,276.5730589662799,-14.99001002037883,25418.285420212487,-5.405270508418697,3.344222022651961,710.3422573430399,175,12.889949177527944
297,578.2611807263779,638.757420982737,276.6398850512527,-14.9972254045511,25034.476151147974,-5.388751148723436,3.344222022651961,710.3422573430399,175,12.906468537223205
