RA,DEC,Magnitude
276.6491883921664,-14.948163949246444,15.470296949700751
276.65062554024445,-15.008972132528665,15.462648163772608
276.65058005338244,-15.034286234546926,12.069763408897801
276.6380095680441,-14.769577995788666,15.265299956846588
276.64656580989663,-15.102796000530883,11.771276874830557
276.63994883488226,-14.997240184244436,13.771164575570896
276.6355707468623,-14.966153718863955,15.068929768454419
276.6357370763755,-14.992110250467544,15.369279068955128
276.6274698161794,-14.724316842510857,14.653904156292157
276.6278209752474,-14.755286055988133,15.098968261613658
276.6353615515267,-15.023019761543916,15.429563329739745
276.62743990162727,-14.750484145609853,13.670538749458844
276.6321495828655,-14.961956352709775,12.836926322783667
276.63361686904415,-15.057474598103662,14.211991050766047
276.625925543153,-14.90263383918835,13.832772043923278
276.62570842560336,-14.90583532839961,14.169435320662114
276.6241918495681,-14.90270221549863,12.402547123654461
276.6250913266177,-15.001461854305232,13.274823174830125
276.62745194173027,-15.083642210033467,14.94906080796635
276.6241177243329,-14.980792389459427,15.458790237793963
276.6255262409009,-15.043949107119795,14.776741240390182
276.62419241693595,-15.035962666297829,15.075589296553911
276.61807599986264,-14.84319174953484,13.660044926542273
276.62092833629106,-14.949194240226939,21.332882058355814
276.6197291973232,-14.944426590703852,13.69845119191147
276.61681829593715,-14.869300230141024,14.849651876177013
276.6201035723894,-14.993915888402428,14.904361211584424
276.6166857800945,-14.903618732953722,15.709973935377349
276.61445620003326,-14.822905836600224,13.154747909846726
276.6189352281052,-14.986327421661251,15.776039480245414
276.6173690389837,-14.9542013289662,15.754203830827342
276.614843570078,-14.888845944239694,15.142689191223557
276.6159984175842,-15.000637293183711,13.94624887059084
276.61336476582744,-14.950966139223038,13.618891555961397
276.613201674706,-14.947434316143863,15.237754295352438
276.6122805130304,-14.975021486717914,15.449712580876852
276.6135105820526,-15.05929141311691,15.468691707497275
276.6011695509286,-14.661200461962483,20.017028235267432
276.6106733932157,-15.003846093476247,14.889940501301552
276.60729619797183,-14.893481602677682,14.554796424499804
276.6128628760736,-15.096932522358868,15.970577105920764
276.61164580876823,-15.068433440283762,12.811699941641887
276.60267858039555,-14.807743751557414,14.048114927208221
276.6029270899266,-14.85200099540082,15.700949589733044
276.60299821562813,-14.868546038358456,15.108065941708672
276.6061242298634,-15.007582855110119,14.368041857051216
276.60386129963206,-14.941672875845576,15.685717694437582
276.6073625563187,-15.066272425792805,15.488298650920202
276.60708192696995,-15.096021688430419,15.369588010098102
276.5961738436416,-14.725610178233211,12.638743138557409
276.59551203877294,-14.781587769547635,13.812506497582065
276.59506632710674,-14.779098130991718,14.670717577280486
276.5995192502235,-14.939435377822827,15.26103571227564
276.5956073153643,-14.875142301304061,14.520588345302276
276.5948048648716,-14.976437755773034,15.57059426667655
276.586756795712,-14.709518564997474,14.609748057948938
276.5978553726095,-15.095089920112269,14.290509392423829
276.5914288109003,-14.881023349568565,15.421458084229128
276.58950962300156,-14.815000223599844,15.011424577706709
